Year,Age_Group,County,Number of Visits,Age-adjusted rate,NO2 AQI_mean,NO2 AQI_max,NO2 AQI_min,O3 AQI_mean,O3 AQI_max,O3 AQI_min,SO2 AQI_mean,SO2 AQI_max,SO2 AQI_min,CO AQI_mean,CO AQI_max,CO AQI_min
2012,1,Los angeles,77.55133079847909,72.78555133079843,31.56722829386763,77.5,5.0,34.70771098967822,84.0,3.5,1.999696417729204,26.0,0.0,7.741461748633882,28.5,2.0
2012,0,Orange,71.325,23.6575,18.78012048192771,53.0,2.0,33.67168674698795,101.0,11.0,0.2680722891566265,9.0,0.0,3.433734939759036,17.0,0.0
2012,1,Orange,49.95,46.54,18.78012048192771,53.0,2.0,33.67168674698795,101.0,11.0,0.2680722891566265,9.0,0.0,3.433734939759036,17.0,0.0
2012,0,Riverside,89.125,37.114062499999996,27.035587188612098,58.0,6.0,51.60142348754449,166.0,3.0,0.2775800711743772,3.0,0.0,6.330960854092527,18.0,1.0
2012,1,Riverside,61.421875,60.0921875,27.035587188612098,58.0,6.0,51.60142348754449,166.0,3.0,0.2775800711743772,3.0,0.0,6.330960854092527,18.0,1.0
2012,0,Sacramento,143.11111111111111,60.53777777777779,16.697986577181208,48.0,3.0,41.895973154362416,151.0,9.0,0.36577181208053694,4.0,0.0,4.785234899328859,23.0,1.0
2012,1,Sacramento,61.977777777777774,67.22888888888892,16.697986577181208,48.0,3.0,41.895973154362416,151.0,9.0,0.36577181208053694,4.0,0.0,4.785234899328859,23.0,1.0
2012,0,San diego,84.17105263157895,26.102631578947367,20.374301675977655,56.0,5.0,37.444134078212294,97.0,2.0,0.008379888268156424,1.0,0.0,5.212290502793296,22.0,2.0
2012,1,San diego,66.55263157894737,64.57894736842105,20.374301675977655,56.0,5.0,37.444134078212294,97.0,2.0,0.008379888268156424,1.0,0.0,5.212290502793296,22.0,2.0
2012,0,Santa barbara,45.64705882352941,22.08823529411765,4.623770491803279,18.0,1.0,34.79890710382514,62.0,20.0,2.895719489981786,33.0,0.6666666666666666,2.178142076502732,4.666666666666667,0.6666666666666666
2012,1,Santa barbara,38.1764705882353,52.60588235294118,4.623770491803279,18.0,1.0,34.79890710382514,62.0,20.0,2.895719489981786,33.0,0.6666666666666666,2.178142076502732,4.666666666666667,0.6666666666666666
2012,0,Santa clara,70.32692307692308,31.903846153846146,19.510928961748633,53.5,4.5,27.972677595628415,61.0,6.0,1.633879781420765,20.5,0.0,5.472677595628415,15.0,2.0
2012,1,Santa clara,34.80769230769231,34.20384615384615,19.510928961748633,53.5,4.5,27.972677595628415,61.0,6.0,1.633879781420765,20.5,0.0,5.472677595628415,15.0,2.0
2012,0,Solano,201.0909090909091,69.12727272727274,17.363387978142075,49.0,1.0,27.939890710382514,58.0,8.0,1.046448087431694,20.0,0.0,6.448087431693989,25.0,2.0
2012,1,Solano,96.18181818181819,107.56363636363636,17.363387978142075,49.0,1.0,27.939890710382514,58.0,8.0,1.046448087431694,20.0,0.0,6.448087431693989,25.0,2.0
2013,0,Alameda,144.6304347826087,55.50652173913044,25.1510989010989,61.0,5.0,21.02747252747253,50.0,3.0,2.491758241758242,67.0,0.0,8.043956043956044,36.0,2.0
2013,1,Alameda,82.38461538461539,100.31794871794871,25.1510989010989,61.0,5.0,21.02747252747253,50.0,3.0,2.491758241758242,67.0,0.0,8.043956043956044,36.0,2.0
2013,0,Contra costa,129.0,48.69444444444445,15.813698630136983,34.666666666666664,3.0,29.45981735159818,78.0,9.0,1.2091324200913232,6.666666666666667,0.0,4.42283105022831,9.666666666666666,2.0
2013,1,Contra costa,76.48275862068965,82.31724137931033,15.813698630136983,34.666666666666664,3.0,29.45981735159818,78.0,9.0,1.2091324200913232,6.666666666666667,0.0,4.42283105022831,9.666666666666666,2.0
2013,0,Fresno,92.0,55.60277777777779,23.65,57.0,3.0,44.75555555555555,145.0,3.0,0.8777777777777778,7.0,0.0,7.325,26.0,0.0
2013,1,Fresno,108.08823529411765,131.7264705882353,23.65,57.0,3.0,44.75555555555555,145.0,3.0,0.8777777777777778,7.0,0.0,7.325,26.0,0.0
2013,0,Humboldt,74.625,70.55000000000001,4.561643835616438,27.0,0.0,23.53698630136986,41.5,9.0,0.021917808219178082,0.5,0.0,3.682191780821918,9.0,1.0
2013,1,Humboldt,26.6,67.8,4.561643835616438,27.0,0.0,23.53698630136986,41.5,9.0,0.021917808219178082,0.5,0.0,3.682191780821918,9.0,1.0
2013,0,Imperial,77.28571428571429,49.81428571428571,30.34393063583815,111.0,2.0,50.71965317919075,182.0,12.0,2.6098265895953756,14.0,0.0,9.855491329479769,56.0,1.0
2013,1,Imperial,107.66666666666667,141.00000000000003,30.34393063583815,111.0,2.0,50.71965317919075,182.0,12.0,2.6098265895953756,14.0,0.0,9.855491329479769,56.0,1.0
2013,0,Los angeles,113.06589147286822,38.73875968992249,31.257397260273983,70.0,5.25,35.75406392694064,90.6,9.25,1.5372146118721453,11.0,0.0,7.940821917808223,23.0,1.75
2013,1,Los angeles,87.77631578947368,81.11359649122812,31.257397260273983,70.0,5.25,35.75406392694064,90.6,9.25,1.5372146118721453,11.0,0.0,7.940821917808223,23.0,1.75
2013,0,Orange,74.34615384615384,24.567948717948724,21.022653721682847,73.0,2.0,38.566343042071196,143.0,7.0,0.5372168284789643,6.0,0.0,4.935275080906149,23.0,0.0
2013,1,Orange,54.47142857142857,51.709999999999994,21.022653721682847,73.0,2.0,38.566343042071196,143.0,7.0,0.5372168284789643,6.0,0.0,4.935275080906149,23.0,0.0
2013,0,Riverside,89.18032786885246,35.16229508196722,27.0,56.0,5.0,54.32923076923077,195.0,2.0,0.30153846153846153,10.0,0.0,7.006153846153846,20.5,2.0
2013,1,Riverside,68.33333333333333,63.67777777777781,27.0,56.0,5.0,54.32923076923077,195.0,2.0,0.30153846153846153,10.0,0.0,7.006153846153846,20.5,2.0
2013,0,Sacramento,145.77272727272728,62.23863636363637,16.923357664233578,42.0,1.0,42.36496350364963,154.0,6.0,0.5802919708029197,7.0,0.0,6.240875912408759,24.0,1.0
2013,1,Sacramento,79.75675675675676,86.82162162162163,16.923357664233578,42.0,1.0,42.36496350364963,154.0,6.0,0.5802919708029197,7.0,0.0,6.240875912408759,24.0,1.0
2013,0,San bernardino,132.27272727272728,57.37454545454545,31.45433789954338,62.0,2.0,63.977168949771695,166.5,13.0,1.1931506849315068,6.0,0.0,4.175342465753425,12.0,0.0
2013,1,San bernardino,107.80851063829788,86.8872340425532,31.45433789954338,62.0,2.0,63.977168949771695,166.5,13.0,1.1931506849315068,6.0,0.0,4.175342465753425,12.0,0.0
2013,0,San diego,90.74324324324324,28.53783783783784,20.15406976744186,48.0,4.0,40.79360465116279,126.0,9.0,0.005813953488372093,1.0,0.0,5.093023255813954,14.0,2.0
2013,1,San diego,67.0,64.83999999999999,20.15406976744186,48.0,4.0,40.79360465116279,126.0,9.0,0.005813953488372093,1.0,0.0,5.093023255813954,14.0,2.0
