Date Local,State,County,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2012-02-05,California,Sacramento,29.0,27.0,0.0,17.0
2012-02-05,California,San Bernardino,32.5,37.0,2.5,4.0
2012-02-05,California,San Diego,34.0,40.0,0.0,8.0
2012-02-05,California,Santa Barbara,8.0,39.66666666666666,2.6666666666666665,2.0
2012-02-05,California,Santa Clara,38.5,24.5,2.5,10.0
2012-02-05,California,Solano,28.0,29.0,1.0,15.0
2012-02-06,California,Alameda,42.0,19.0,4.0,13.0
2012-02-06,California,Contra Costa,27.666666666666668,19.0,3.333333333333333,5.333333333333333
2012-02-06,California,Fresno,34.0,19.0,1.0,16.0
2012-02-06,California,Humboldt,4.0,34.0,0.0,7.0
2012-02-06,California,Imperial,45.0,33.0,1.0,17.0
2012-02-06,California,Los Angeles,48.2,13.8,2.6,13.8
2012-02-06,California,Orange,40.0,15.0,1.0,10.0
2012-02-06,California,Riverside,35.0,31.0,1.0,7.0
2012-02-06,California,Sacramento,34.0,22.0,1.0,17.0
2012-02-06,California,San Bernardino,39.5,34.5,4.0,6.5
2012-02-06,California,San Diego,35.0,27.0,0.0,10.0
2012-02-06,California,Santa Barbara,11.0,40.0,2.333333333333333,2.333333333333333
2012-02-06,California,Santa Clara,38.5,32.0,2.0,9.5
2012-02-06,California,Solano,25.0,24.0,1.0,5.0
2012-02-07,California,Alameda,29.0,25.0,0.0,6.0
2012-02-07,California,Contra Costa,17.666666666666668,16.666666666666668,2.6666666666666665,4.333333333333333
